City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
361,Indramayu,ID,79.65,Clouds,-6.33,108.32,Grand Trisula Hotel
362,Eydhafushi,MV,83.26,Clouds,5.1,73.07,Soneva Fushi
364,Cayenne,GF,78.8,Rain,4.93,-52.33,Hôtel Le Dronmi
365,Dourados,BR,78.64,Clear,-22.22,-54.81,Alphonsus Hotel
366,Sendhwa,IN,82.83,Rain,21.68,75.1,Hotel Shagun Garden
369,Sattahip,TH,84.2,Clouds,12.67,100.9,Makmai Sailom Heights
370,Kavieng,PG,82.38,Clouds,-2.57,150.8,Nusa Island Retreat
371,Conway,US,79.0,Clouds,35.09,-92.44,"Country Inn & Suites by Radisson, Conway, AR"
372,The Hammocks,US,81.0,Rain,25.67,-80.44,Holiday Inn Express & Suites Miami-Kendall
373,Roma,US,75.99,Clouds,43.21,-75.46,Wingate By Wyndham Rome
376,Wajima,JP,76.53,Clouds,37.4,136.9,Wajiima Onsen Yashio
385,Nara,JP,84.99,Clear,34.69,135.8,Guesthouse Nara Komachi
387,Sola,VU,76.32,Rain,-13.88,167.55,Leumerus Bungalows
388,Manggar,ID,80.37,Clouds,-2.88,108.27,Guest Hotel
390,Lorengau,PG,81.59,Clouds,-2.02,147.27,Lorengau Harbourside Hotel
392,Bengkulu,ID,77.97,Rain,-3.8,102.27,Grage Hotel Bengkulu
402,Itajuba,BR,75.0,Clear,-22.43,-45.45,Hotel Oriente
405,Veraval,IN,86.14,Clouds,20.9,70.37,Lords Inn Somnath
406,Marzuq,YE,84.96,Rain,14.4,46.47,
408,Weymouth,US,84.0,Clouds,42.22,-70.94,"Boston Motel Weymouth/Boston, MA"
409,Kahului,US,77.0,Clouds,20.89,-156.47,Maui Seaside Hotel
411,Stephenville,US,84.2,Clear,32.22,-98.2,Holiday Inn Express & Suites Stephenville
412,Chenzhou,CN,79.75,Clear,25.8,113.03,Thank Inn Chain Hotel hunan chenzhou beihu district wuling square
413,Hirara,JP,84.2,Rain,24.8,125.28,Hotel Atoll Emerald Miyakojima
414,Yining,CN,78.94,Clear,29.04,114.56,Xiushui Hotel
415,Gouyave,GD,86.0,Clouds,12.16,-61.73,Rumboat Retreat
416,Praia,CV,86.0,Clouds,14.92,-23.51,LT Aparthotel
417,Corinto,GR,88.0,Clear,37.94,22.96,Ephira Hotel
419,Dourbali,TD,75.94,Clouds,11.81,15.86,
421,Lanzhot,CZ,82.0,Clouds,48.72,16.97,Penzion Toscana
425,Sao Filipe,CV,79.61,Clouds,14.9,-24.5,Tortuga B&B
428,Tondano,ID,77.0,Clouds,1.3,124.91,Villa Bella
435,Axim,GH,78.22,Clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
441,Saint Pete Beach,US,90.0,Clouds,27.73,-82.74,TradeWinds Island Grand Resort
442,Kanniyakumari,IN,80.04,Clouds,8.08,77.57,New Cape Hotel
444,Magnolia,US,82.0,Clear,33.27,-93.24,Budget Inn
446,Itarema,BR,87.94,Clear,-2.92,-39.92,Windvillage
448,Pavlogradka,RU,77.72,Clear,54.2,73.56,
451,Bathsheba,BB,87.8,Rain,13.22,-59.52,Atlantis Hotel
454,Mgandu,TZ,75.2,Clear,-5.95,34.13,
457,Mumford,GH,76.8,Clouds,5.26,-0.76,Spanish Villa
462,Nicoya,CR,84.2,Clouds,10.15,-85.45,Guayacan Real
464,Edgewater,US,82.0,Clouds,28.99,-80.9,Islander Beach Resort
465,Lumeje,AO,83.71,Clouds,-11.55,20.78,
467,Vilhena,BR,78.8,Clear,-12.74,-60.15,Hotel Mirage
469,Alirajpur,IN,85.48,Rain,22.3,74.35,YS Pawar Villa
470,Kanevskaya,RU,75.92,Clouds,46.08,38.96,Guest House Nes
473,Lucea,JM,88.0,Clouds,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
476,Bandar,ID,76.51,Clouds,2.05,99.75,
477,Bairiki,KI,80.6,Clouds,1.33,172.98,Tarawa Boutique Hotel
478,Meulaboh,ID,79.38,Clouds,4.14,96.13,Kost Pria
479,Hami,CN,87.62,Clouds,42.8,93.45,Laoyutang Resort
482,Pedro Juan Caballero,PY,75.2,Clear,-22.55,-55.73,Hotel Pousada do Bosque
483,Sfantu Gheorghe,RO,77.0,Clouds,45.87,25.78,Hotel Park Sfantu Gheorghe
484,Uruzgan,AF,76.48,Clear,32.83,66.0,
492,San Patricio,MX,86.0,Clouds,19.22,-104.7,Hotel Cabo Blanco
495,Santa Rosa,PH,82.4,Clouds,14.31,121.11,Amethyst Econotel
503,Rosario,AR,82.99,Clouds,-32.95,-60.64,Holiday Inn Rosario
504,Yuci,CN,75.2,Clouds,37.68,112.73,Thank Inn Plus Hotel Shanxi Jinzhong Yuci District Yingbin West Street Yinhaixinyue
505,Yanam,IN,84.2,Thunderstorm,16.73,82.22,The Regency Hotel
506,Vila Velha,BR,75.2,Clouds,-20.33,-40.29,Hotel Vitória Palace
508,Bandarban,BD,86.0,Clouds,22.2,92.23,Hotel Plaza
512,Inirida,CO,85.1,Rain,3.87,-67.92,Fuente del Guania Hotel de Lujo
513,Bay Saint Louis,US,87.8,Clouds,30.31,-89.33,The Abode Guest House
515,Southbridge,US,80.01,Clouds,42.08,-72.03,Southbridge Hotel & Conference Center
518,Jambi,ID,76.53,Clouds,-1.6,103.62,Aston Jambi Hotel & Conference Center
519,Saint-Georges,GD,86.0,Clouds,12.06,-61.75,Siesta Hotel
520,Paragominas,BR,89.19,Clear,-2.97,-47.48,HOTEL RODA VIVA
521,Jizan,SA,89.6,Thunderstorm,17.33,42.67,شهدان. ابوالحجر
525,Xuzhou,CN,80.01,Clouds,34.18,117.16,Thank Inn Chain Hotel Jiangsu xuzhou tongshan district Beijing south road
526,Cockburn Town,TC,82.35,Clouds,21.46,-71.14,Osprey Beach Hotel
528,Dutse,NG,79.84,Rain,11.76,9.34,Kaci
531,Ciudad Bolivar,VE,84.47,Rain,8.12,-63.55,Hotel Edi
538,Bereda,ES,75.99,Clouds,43.27,-7.54,Pazo de Verdes
540,Nacala,MZ,75.96,Clouds,-14.54,40.67,Nacala Plaza Business Design Hotel
541,Panaba,MX,86.45,Clear,21.28,-88.27,Hotel Amor
543,Wuzhou,CN,77.09,Clouds,23.48,111.32,Wuzhou Hostel
544,Tecoanapa,MX,84.74,Clouds,16.52,-98.75,Hotel Manglares
545,Tucuma,BR,88.79,Clouds,-0.18,-50.05,
